sample	type
FGG 	Protein
ELANE 	Protein
PRTN3 	Protein
BASP1 	Protein
FGB 	Protein
AZU1 	Protein
CORO1A 	Protein
CTSG 	Protein
ANXA3 	Protein
ANXA6 	Protein
ANXA1 	Protein
MMP9 	Protein
PTPRC 	Protein
LTF 	Protein
TKT 	Protein
MPO 	Protein
C3 	Protein
COG1018	COG
COG1573	COG
COG4684	COG
COG0618	COG
COG2730	COG
COG1134	COG
COG3385	COG
COG1204	COG
COG0030	COG
COG0667	COG
COG0775	COG
COG0749	COG
COG0773	COG
COG2972	COG
COG4238	COG
COG1020	COG
COG3981	COG
COG0769	COG
COG3311	COG
COG5277	COG
