sample	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36	H37	H38	H39	H40	H41	H42	H43	H44	H45	H46	H47	H48	H49	H50	H51	H52	H53	H54	H55	H56	H57	H58	H59	H60	H61	H62	H63	H64	H65	H66	H67	H68	H69	H70	H71	H72	H73	H74	H75	H76	H77	H78	H79	H80	H81	H82	H83	H84	H85	H86	H87	H88	H89	H90	H91	H92	H93	H94	H95	H96	H97	H98	H99	H100	H101	H102	H103	H104	H105	H106	H107	H108	H109	H110	H111	H112	H113	H114	H115	H116	H117	H118	H119	H120	H121	H122	H123	H124	H125	H126	H127	H128	H129	H130	H131	H132	H133	H134	H135	H136	H137	H138	H139	H140	H141	H142	H143	H144	H145	H146	H147	H148	H149	H150	H151	H152	H153	H154	H155	H156	H157	H158	H159	H160	H161	H162	H163	H164	H165	H166	H167	H168	H169	H170	H171	H172	H173	H174	H175	H176
ANXA1 	10.4469	9.81756	9.36974	10.2487	8.78845	8.69317	9.33125	9.31998	10.5621	10.5089	10.4872	8.87973	8.90976	10.0765	9.24837	10.6971	9.14096	9.13119	10.1873	10.3096	10.5103	10.1739	10.6978	10.1379	9.1159	10.6003	9.9766	10.238	10.0491	10.3164	10.4579	8.45278	8.46981	7.74405	8.69813	7.9168	10.4392	9.48651	10.4195	10.5555	10.2915	8.44567	8.5077	8.54076	8.50682	9.63434	10.2408	10.2314	10.678	10.5984	10.1854	9.41473	8.44981	8.70485	9.0925	10.3632	8.78741	9.47843	9.26555	10.3031	8.36734	7.74858	7.90723	8.08243	8.48472	8.64761	8.70263	8.44582	7.74317	8.12101	7.58614	8.85481	8.43764	8.44287	10.049	9.68553	9.01239	8.89876	9.2371	9.07153	9.51387	10.0964	10.3953	10.3722	9.21537	9.07843	8.91616	9.59169	9.95594	9.30092	8.87963	9.11706	9.19607	10.1638	9.78007	9.85437	9.9997	10.3178	10.3568	9.12732	9.21689	10.2223	10.2141	10.3668	9.33275	8.16132	7.90097	10.5772	10.2401	10.3732	9.09748	9.04211	8.7352	10.3983	10.4365	10.4391	10.0945	10.0888	10.0172	10.2855	10.3146	10.6112	9.16748	8.6687	8.28777	10.4492	10.7253	10.3424	10.1873	10.1908	10.48	10.1483	10.1349	10.31	10.4646	10.1649	10.3806	9.12659	8.96863	8.16059	10.1658	9.14611	9.30584	10.4209	10.2866	10.1221	9.03156	8.76082	8.6445	7.58377	8.24937	7.6851	9.60197	9.71604	10.5264	10.7023	10.6755	10.2818	10.4032	9.68672	8.22349	8.73939	8.97759	9.08206	8.87966	9.97696	10.3861	10.6059	10.3561	10.2546	10.5114	10.032	10.3848	10.0286	10.3056	10.2151
MMP9 	9.41282	7.73846	7.01944	7.96089	7.17069	6.72951	7.14087	7.43963	8.97041	9.14293	9.59091	7.88758	7.25243	9.17825	7.50665	8.9362	7.69436	6.7993	7.99679	8.23421	8.97507	7.67287	9.46475	7.31485	7.83897	8.72447	7.64968	8.68182	8.066	9.37564	8.87987	6.49053	6.48915	6.81371	6.67592	6.59936	8.25331	7.44173	8.87847	8.93742	8.76352	7.51555	7.71825	7.32229	7.0939	7.49705	9.04222	9.49703	9.10982	9.15235	9.02582	7.93884	6.70869	6.46644	8.29672	8.96633	7.29189	7.03343	8.0013	8.23808	6.96348	7.05845	6.93012	7.72299	6.02863	7.0565	6.87003	6.95225	7.97566	8.05513	7.5575	7.59249	7.42671	7.48407	8.47668	9.00347	7.01175	7.22804	7.92253	7.22879	6.96168	8.14707	8.82164	9.7393	6.62757	6.97807	6.59418	7.38895	7.81378	6.08523	6.79899	7.63171	7.60637	9.42098	7.98131	8.38738	8.37468	8.9441	9.2816	7.52924	6.11874	8.53946	8.14084	8.18841	7.34405	6.54036	6.43688	9.42364	8.83973	8.84979	7.92665	7.43808	6.71027	8.8421	9.39036	9.73189	8.21192	8.98627	9.04897	8.52186	8.9242	9.8824	7.41141	6.94662	6.88893	9.21784	8.97001	8.15567	8.99295	7.51631	8.66183	8.46934	8.22655	8.9028	8.26599	8.45336	8.31688	6.46862	6.55865	6.10715	8.92706	7.44457	7.40442	8.22976	8.62574	8.85195	6.79825	7.2096	6.92059	7.94591	7.27732	7.13195	7.60833	7.03682	9.42163	9.86339	9.65773	9.59569	9.29442	7.35665	6.87591	6.56105	NaN	7.0111	NaN	10.0083	9.01602	9.38334	8.27848	7.72028	9.00841	8.97387	9.08156	9.07637	8.88317	8.65452
PTPRC 	9.41517	8.15244	8.14587	9.19891	6.69804	7.13495	7.5714	7.55078	9.41102	9.67319	9.59054	7.58969	9.0213	9.32477	8.25793	9.75614	7.91035	7.81776	8.69507	9.01922	9.36622	8.96105	9.57075	8.4505	8.45506	9.38552	8.33101	9.44387	9.02193	9.6794	9.61055	7.67261	7.06928	7.65762	7.8784	7.03514	9.43278	8.32437	8.9354	9.37304	9.42521	8.13213	8.43314	8.23097	7.92888	8.59709	8.80834	9.74055	9.72428	9.60925	9.75082	8.56948	7.75729	7.45594	8.21206	9.08409	7.96389	7.87986	8.21124	9.39046	7.88672	8.05733	7.71902	8.31161	7.67801	8.09832	7.32001	8.00242	8.03606	7.86994	7.27112	7.47332	7.30647	7.20236	9.17607	9.1242	7.5208	7.6481	7.56288	7.34054	7.6825	9.61618	9.51017	9.83743	7.21322	7.88165	7.07148	7.92603	8.01695	7.62991	6.88308	7.79067	8.19653	8.94972	8.66065	8.62991	8.7161	9.23993	9.43197	7.97897	7.73777	8.44081	7.68612	9.20899	7.75643	7.34862	7.57281	9.54496	8.85788	9.66402	7.60125	7.37148	6.8956	9.1246	9.68787	9.76205	8.90487	9.41574	9.50197	9.47108	9.60648	9.74011	7.65219	7.38475	6.97141	9.72284	9.60975	9.28244	8.94893	8.93026	9.62417	9.59149	9.47958	9.50682	9.41162	9.00636	9.2856	6.68067	7.47861	7.71833	9.27972	7.63526	7.82091	9.71238	9.55586	9.51369	8.03202	7.62539	7.28169	8.1067	8.06984	7.52348	8.0491	7.29315	9.84708	9.76431	9.72338	9.69094	9.4262	7.88796	7.37372	7.44476	6.78	7.40735	7.26925	9.50936	9.653	9.58359	9.42719	9.03305	9.06311	8.66924	9.20165	9.6344	9.69487	9.46144
LTF 	10.9247	10.3993	9.39411	10.6998	9.78476	9.88644	9.53925	9.52835	10.7381	10.8386	11.0262	9.25564	9.26703	10.7761	10.446	10.3294	10.2846	10.2141	10.7241	10.7065	10.8271	10.4933	10.8621	10.7232	9.59167	10.9031	10.8311	10.724	10.6548	10.9456	10.6967	9.09469	8.98203	8.78671	8.38861	8.46481	10.6851	10.2925	11.1244	11.1403	11.1287	9.50647	9.82383	9.83032	9.92616	11.1926	11.2508	11.0727	10.9951	11.0088	11.0912	10.6528	9.38863	9.72373	10.4625	10.9244	10.4369	10.5109	10.6019	10.6834	10.2438	10.0894	9.33598	9.65712	9.29455	9.39851	8.30976	8.8357	9.43798	9.28366	9.30052	10.1134	9.55461	9.37547	11.1498	11.0388	9.74264	9.63286	9.54835	10.9018	10.7571	10.9217	10.9647	11.092	8.72769	8.59659	9.72072	10.4957	10.3157	9.70057	9.57296	9.8387	9.61308	11.2578	10.8938	10.8534	10.9104	10.8147	11.2269	9.81829	10.0413	10.9044	10.9792	10.7907	9.48135	9.70132	9.55307	11.0029	11.1698	10.7979	9.76078	9.73021	9.74585	10.8076	10.912	11.1658	10.6394	10.8936	10.956	10.6097	10.8484	11.0034	9.40345	9.30269	9.14438	10.8348	10.8363	10.4413	10.5342	10.6092	10.7442	10.6617	10.6936	10.8006	10.7438	10.5094	10.8086	9.28556	9.36826	9.54263	11.0301	10.8711	10.5722	10.9319	11.0829	11.3263	9.45984	9.41955	8.82978	9.3422	9.11577	8.96168	10.4897	10.3564	11.1012	11.2371	11.2387	11.0098	10.8022	9.81913	10.2898	10.3156	10.3345	8.33536	8.56756	11.3497	10.9574	10.8684	10.4603	9.90843	11.2243	11.3166	10.8647	10.6122	10.662	10.5728
TKT 	10.079	9.0934	8.70407	9.72194	8.40272	8.38806	8.50672	8.30901	9.11607	9.26133	9.10496	8.13318	8.10485	8.88917	8.67677	9.41707	8.64806	8.77682	9.04709	9.06551	9.19763	8.85222	9.31185	9.03633	8.22969	9.22608	8.32349	9.48391	9.27804	9.19064	9.22483	8.64071	8.20433	8.2051	7.60084	7.89015	9.54541	8.43589	9.8214	9.71955	9.40645	7.59724	7.24167	7.40083	8.06747	8.87848	9.03103	9.5655	9.52848	9.62082	9.59233	9.08944	7.5912	8.62565	8.30399	8.78956	9.55322	8.75233	8.86242	9.54815	7.78156	8.03193	7.1627	7.41926	8.47137	7.41018	8.03441	7.56471	7.89731	7.98016	7.56893	7.38324	7.55752	7.68884	8.794	8.60629	7.87024	7.91018	7.91423	8.81195	8.94236	9.53167	9.57927	9.5442	7.63139	8.20552	7.376	8.01603	9.19243	8.54603	8.64615	8.37918	8.29205	9.63583	8.65797	9.06547	8.80942	9.35886	9.3752	8.17867	8.10474	9.40046	9.16602	9.29931	8.63129	7.77784	7.17989	9.70919	9.46408	9.55158	7.31109	8.33926	6.92727	9.71171	9.49582	9.76151	9.47812	9.33457	9.8975	9.04992	9.27125	9.67025	7.69332	7.19637	7.69008	9.50057	9.87756	9.33603	9.6069	9.17787	9.27392	9.43559	9.29447	9.33928	9.53492	9.32833	9.86037	8.57385	7.62528	8.62874	8.81975	8.10221	9.1388	9.71081	9.71351	9.49622	7.7694	8.27957	8.08675	8.35232	8.22423	7.41675	8.90811	8.93465	9.51698	9.7117	9.62104	9.7046	9.21603	8.60833	8.15573	8.11939	8.01105	7.4684	7.49558	9.61916	9.53376	9.50792	9.46535	8.7601	9.62551	10.3249	10.0316	9.01726	9.20068	9.0765
MPO 	10.8606	10.4651	9.60993	10.7765	9.5401	9.80659	9.52289	9.54424	10.619	10.9379	10.8013	9.33146	9.34271	10.6765	10.4076	10.8387	10.3093	10.3905	10.8349	10.8291	10.7942	10.5639	10.8601	10.7596	9.76163	10.9036	10.9834	10.6607	10.4733	10.9522	10.8731	9.14274	9.00419	8.63197	8.87162	8.02116	11.0142	10.4897	11.1175	11.1226	11.2191	9.43944	10.153	10.0829	10.105	11.1756	11.1518	10.9619	10.8754	11.0925	11.1401	10.4056	9.30657	9.64908	10.4722	10.8901	10.2238	10.6283	10.8559	10.7591	10.861	10.9403	9.38361	9.46285	9.31128	9.36795	8.76434	8.83657	9.70852	9.52472	9.32784	10.6886	9.83494	9.85345	10.8565	10.8035	9.56754	9.51017	9.52021	10.8487	10.7051	10.9082	10.8886	11.0375	9.00423	9.08726	9.78404	11.0291	10.7342	10.2815	9.71702	9.93773	9.7911	10.893	10.6962	10.7953	10.8116	10.964	11.0833	10.0185	10.1585	10.9229	11.0518	10.775	9.45291	9.56781	9.36616	10.9748	10.9778	11.1235	9.9066	9.88225	9.71885	10.6859	11.008	11.0548	10.8067	10.9197	10.9598	10.8611	10.9649	10.9605	9.50033	9.23358	9.1224	11.1538	11.0496	10.9765	10.569	10.715	10.813	10.9356	10.7305	11.082	10.858	10.8717	10.8699	9.53786	9.46526	9.3587	10.7308	10.6743	10.3131	11.0964	11.1844	11.1518	9.64873	9.65721	9.11358	9.2236	9.58648	9.21357	10.6143	10.5061	10.9666	11.1429	11.0235	11.0836	10.8512	10.0774	10.3987	10.4135	10.4573	8.72354	9.01983	10.841	10.9255	10.9608	10.727	10.5509	11.0907	11.0049	10.998	10.8049	10.8468	10.6999
C3 	9.83598	9.4767	9.96836	9.40337	7.46675	7.22564	8.46784	8.35582	9.5204	9.67777	9.95709	7.87819	7.96593	9.83672	8.93218	9.7394	7.85619	8.26839	8.89467	8.76358	9.16325	9.09786	9.68015	7.8015	8.47479	9.72478	8.85829	10.0057	9.52478	9.45881	9.15774	8.48639	8.00045	8.06056	7.68348	8.0063	9.36607	8.30261	10.4036	10.305	10.1124	8.65682	7.9399	8.36654	8.15731	8.92183	9.38514	9.65838	9.257	9.27694	9.152	9.14445	8.30219	8.20407	8.45276	9.59327	9.11912	8.38087	8.44785	9.06523	9.08626	8.90307	8.46442	8.33079	8.3308	8.58541	9.20352	7.90154	8.29042	8.65913	8.0981	8.13869	8.25181	8.12688	8.83031	8.8971	8.22531	8.21639	8.01921	9.2807	8.31163	9.70046	10.1411	9.7064	7.73589	7.99048	8.01509	8.94131	8.9211	7.60017	9.26811	8.29367	8.10015	9.57664	8.42116	9.58494	9.43394	9.53965	9.30399	8.33755	8.38242	10.1658	9.90257	9.70364	8.92116	8.57181	8.2713	9.73479	9.81742	9.72199	8.13731	7.96701	7.06538	10.0826	9.82268	9.89767	9.13127	9.22976	9.12155	9.75062	9.74682	9.93668	7.26055	7.43832	7.26576	9.46526	9.22667	8.53107	9.63315	9.5834	9.5694	9.55476	9.34414	9.39669	9.60474	9.2459	8.93807	8.41688	7.72046	9.5351	9.8542	8.71568	8.98553	9.54311	9.86721	9.52438	7.87927	8.01942	7.4527	8.54028	8.56431	7.98692	8.86563	8.94239	9.78826	9.90855	9.79614	10.1727	9.4427	7.93802	7.70343	7.78816	7.50433	8.03146	7.90964	10.2949	9.70843	10.0865	9.66561	8.77513	8.23895	9.33382	9.68186	10.1826	9.60546	9.17746
COG1018	8.242258103	7.759373187	NaN	NaN	NaN	NaN	6.450484826	7.64366386	7.739828582	7.523642445	7.928848404	6.834519951	6.782107047	7.494765253	7.787473872	8.389685157	NaN	6.738382616	8.092590024	7.91494552	9.326202957	8.709023141	7.066627814	7.938024112	7.25514198	7.367531113	8.228246817	8.790389115	8.364200043	7.820304607	NaN	8.551261235	7.678400011	7.297026974	8.015389103	7.059563456	8.032779883	7.569510392	7.71812038	6.735614946	7.490785535	7.009348939	7.350082431	7.322054873	7.076235848	7.567801296	7.704532382	6.970783323	8.059726204	8.378027777	8.008472424	7.232552472	7.572971815	7.266337575	7.027970674	7.227491934	6.924171785	7.654258492	7.452505587	7.416692104	8.051321579	7.611886175	7.494052982	6.817362453	7.41422105	7.346325605	7.137768614	7.289138172	7.327081735	7.141369523	7.231680086	7.264019333	7.09313443	6.968843357	9.196113384	9.164506272	7.086783275	7.218540783	7.024777056	7.50608042	6.626875052	7.901990434	7.743965777	8.305662791	7.127347838	NaN	6.819607167	NaN	7.479631461	7.824941574	7.410127093	7.764564663	7.557070414	7.75491149	7.652534495	7.403842789	7.736344711	7.55105091	7.323828185	7.502711108	7.669653407	9.100469974	9.262038552	8.633988289	7.275364365	7.724232446	7.758589464	7.069283239	7.54982312	7.790550312	7.494868658	7.37873995	7.340721083	8.218842346	8.251671213	NaN	7.164102946	7.659939017	NaN	6.759926909	7.441877313	7.818909804	7.074866557	7.072569746	7.32179888	NaN	NaN	NaN	7.973997885	7.349115458	7.524157175	6.527600388	7.023301896	7.991625624	7.451430275	6.473933589	6.958571098	7.630981842	6.774434551	7.228305404	7.827576037	7.608842023	7.729343421	7.552641708	8.150649314	8.834070813	7.47395679	6.770043103	NaN	7.185100582	6.862538697	NaN	7.271654866	7.933603697	7.184023893	7.944414073	7.971529118	7.945123775	7.912909903	7.115047761	6.899488967	7.688673392	7.679302506	7.474960936	7.151004699	8.677204406	NaN	8.487946798	7.723688774	8.370343245	7.053492978	7.246650976	7.760137392	NaN	8.67123914	8.945750146
COG1573	10.67696873	9.013153344	7.948844605	10.33414344	6.401843399	NaN	NaN	NaN	8.799855194	10.64536466	9.320862593	NaN	7.205526473	8.355407458	8.042287204	10.4239162	8.531768777	7.387548226	8.505016957	8.366626516	8.202649039	8.111000248	10.413635	7.836751243	6.480492879	9.915697354	9.250964725	9.757869622	8.602801026	10.53844805	10.43575998	7.063753599	NaN	6.956686536	NaN	7.615324986	10.40920926	6.556551063	8.157574622	8.671712367	9.363476087	6.675573149	NaN	5.923119621	NaN	7.388463839	8.089862743	9.30133817	10.55565303	10.67532902	10.78907421	7.839029952	NaN	NaN	6.594151688	7.62996792	6.71067245	7.622412996	8.033895959	8.696201694	7.724547841	NaN	NaN	NaN	6.936796696	NaN	7.193739441	NaN	NaN	NaN	NaN	7.666014141	6.762114965	7.091666993	8.342179805	8.470022188	NaN	NaN	7.16182844	7.530124119	NaN	8.661531581	9.976086663	10.4213357	NaN	NaN	6.559511752	8.278824456	8.85071606	8.72592796	5.97520794	5.986174505	NaN	8.199667435	7.743881194	7.768424238	7.564584416	9.245608893	9.372153165	NaN	6.598477636	7.405100384	7.305568484	10.01602121	7.880748449	NaN	NaN	9.841015153	8.968393419	9.964558959	6.353593322	7.590160568	NaN	10.24638827	10.33990121	10.05268209	7.671579176	8.029562333	10.738901	NaN	9.019071405	10.68250847	NaN	NaN	NaN	9.914288669	9.951795376	9.859108262	9.017496618	9.289073201	9.683938139	7.371241564	8.242266058	9.337704793	8.399851903	8.20179573	9.135530175	NaN	6.441571191	NaN	8.148305212	7.857365073	7.313867241	9.978472232	10.30045852	10.13499582	6.976538927	6.542129376	6.816330205	NaN	NaN	6.3231512	7.716922748	8.371263714	10.8316527	10.29062196	10.69904293	10.37159424	10.47459065	8.18843066	7.494786103	7.813312731	7.750710461	7.653991624	6.254260627	10.66901015	10.32281449	10.21396457	10.19082343	9.395750868	7.516609416	8.303036789	9.356762767	9.813842421	8.574186892	8.061745307
COG4684	7.659138154	10.10832143	9.582730209	10.48789455	7.630922922	NaN	8.056502756	7.964880218	9.872762696	10.69795431	9.558246437	6.879504223	6.930801407	NaN	NaN	9.917982604	8.438015182	8.681474609	9.776932794	6.709495617	9.35706348	NaN	10.21390539	9.351187327	6.266558824	10.64651645	8.152413724	9.866984605	9.678927625	9.997046331	9.782787123	7.607231932	7.939214645	7.778377032	NaN	NaN	10.7116166	8.344918809	8.878573552	8.563701738	9.558028421	7.95412717	6.959424977	7.878091315	6.751093565	9.301817526	9.183748017	9.571204385	10.78887441	10.79247574	10.53661273	8.476058832	7.273461982	7.301884736	7.88431778	8.568846819	NaN	9.0619084	8.471966106	9.07469213	9.230515338	9.32016291	7.621344575	6.727168694	NaN	NaN	NaN	7.013519795	7.958405239	NaN	NaN	8.972233354	7.832400332	8.136784917	9.357134093	9.718277425	7.194575416	6.924780555	NaN	8.868843029	9.133475037	9.958450159	10.32937957	10.4079277	6.331927308	NaN	NaN	9.496024155	9.329037683	9.337774634	6.536534581	6.743983076	6.598548788	6.561458098	9.468107959	8.782329987	8.697062745	9.923812168	9.561108542	6.377757981	6.915811297	9.281317499	NaN	10.30062809	7.613583927	8.39090333	7.706113283	9.838526712	9.615065841	9.119051235	NaN	6.561041843	NaN	10.21703889	10.36074863	9.567315799	6.521979825	9.609068029	8.407762999	9.319491234	9.903871014	10.38859137	6.898322011	7.262066486	8.33971373	10.0319979	10.11778816	10.60917806	9.707410906	10.20184212	10.60708384	8.915816516	9.262391756	7.562823225	8.433672248	4.916789673	NaN	7.773087656	6.693596905	6.570816156	9.244517092	8.791621185	8.996226573	10.63418496	10.66974445	NaN	7.76152229	7.446130035	NaN	NaN	NaN	NaN	8.822928084	7.033540396	9.387167283	9.940632514	10.36295158	10.38851504	11.12950621	9.989992347	7.412358069	9.357509869	9.471200735	NaN	NaN	10.12760422	10.52599144	8.631184943	10.39266003	10.1977711	8.994821746	9.255245964	9.695763526	10.16975964	9.279869902	8.94674939
COG0618	8.170692864	NaN	8.747520563	8.511039209	7.856359075	NaN	7.481517814	7.005765086	7.619242604	8.398582291	8.193764436	7.835169937	7.700880176	8.130816696	7.37220406	8.159344578	7.922649494	6.268231756	7.18327272	NaN	7.335538152	7.47181711	8.726843712	7.263097802	7.588298963	NaN	7.322214145	7.623587298	NaN	8.569246413	8.510474232	7.650431877	6.904099687	7.435347397	7.573998503	7.724497066	8.457000916	7.510372076	8.072565229	8.148864297	8.099162946	NaN	6.539678296	7.552530011	7.425736339	7.038615036	6.962410111	6.247285949	7.790688308	8.002009173	8.571557444	6.027354093	7.34016066	6.566226599	7.324576297	7.555685376	7.253265318	7.480066489	6.584281572	8.284110255	6.520841171	7.401104034	7.442135976	7.670049179	7.322795924	7.443294302	6.853594857	7.702666585	7.678081871	7.494597029	7.685862617	7.052386134	7.129376011	7.035430979	7.94392761	8.092061691	7.279728548	7.647037559	6.968743494	7.823689569	7.696039518	7.407611837	NaN	8.922232823	7.585186541	7.680909699	7.505661344	7.720387401	7.67222906	NaN	7.520810945	5.811581038	7.560779135	7.374100288	7.437658638	NaN	7.066977847	7.700395631	8.071369757	7.618903296	7.697559743	7.7977201	8.45868741	7.951951126	7.564784396	7.744207689	7.730692671	7.398049454	NaN	NaN	7.78672283	7.507873418	7.81826286	8.252105841	9.234425404	9.497830497	NaN	NaN	8.03370395	7.49514595	7.155612349	8.135342274	6.914739766	7.041582194	6.385697591	8.651200455	8.525699257	7.807319864	8.26726351	7.455473766	8.259998365	7.568893122	NaN	8.348716957	7.79806268	7.855614127	6.720519908	6.907987762	NaN	NaN	NaN	7.291568877	NaN	8.020847275	8.215604524	8.114935753	7.341500425	NaN	8.012795526	7.445065297	6.796280148	7.107833854	7.188634948	7.42582758	8.412309217	7.93779313	8.755249632	8.815878862	7.735991511	NaN	6.477374664	6.903094384	7.265386306	7.06439812	7.160954687	8.989903899	7.274190212	9.34300878	8.815664068	7.450058115	7.760886169	7.300089621	8.643040099	8.300758479	7.125653681	7.176029903
COG2730	NaN	7.459941056	NaN	7.330561916	NaN	NaN	5.428009997	NaN	NaN	7.181429125	NaN	NaN	6.271551438	NaN	8.751331648	6.444446255	7.318703885	7.278438074	8.33184216	8.007931188	NaN	6.245767001	8.304830982	6.60689716	6.813685113	NaN	9.263070052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.767563993	7.312858339	NaN	7.083111902	8.847230475	8.616831312	8.641647625	7.923815072	6.051631333	6.758096333	6.704269889	7.346947297	7.573794959	NaN	NaN	NaN	NaN	7.730593349	7.773841723	NaN	8.218328341	8.244494686	8.006892857	8.688690283	7.021937337	8.466922461	NaN	NaN	NaN	6.154205097	NaN	6.578000591	8.147988413	6.661771146	NaN	NaN	NaN	7.319663951	6.609616924	6.536364103	7.236250013	7.340519485	7.280993824	7.164489696	NaN	6.664156742	NaN	7.578675889	NaN	NaN	NaN	NaN	NaN	6.97079029	8.056054482	NaN	7.173707721	7.078025246	8.616655602	7.602794099	7.293388656	6.75756994	6.931436054	8.638459705	6.711427667	NaN	7.571071488	6.747243263	6.429384185	9.15437832	NaN	NaN	NaN	8.542750758	8.676997053	8.259780172	NaN	6.259749366	NaN	NaN	8.511133055	6.734947848	NaN	NaN	NaN	6.98456111	NaN	8.134722028	6.344663574	7.237686997	7.326171966	8.1027917	NaN	NaN	NaN	NaN	NaN	6.601850502	6.5678155	NaN	8.137566145	7.959598464	9.083240352	NaN	7.125891001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.762458893	7.806729152	7.79922266	7.365126565	8.753678793	NaN	NaN	7.821895913	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.030505005	NaN	6.409092618	7.53382988	7.640423802	8.381806153	7.632998568	NaN
COG1134	10.16426956	9.635043197	8.546654925	10.09883401	NaN	7.025629458	6.617508923	7.480844539	9.44992866	10.25615949	9.105097835	NaN	NaN	8.378920922	8.318186509	10.06101495	NaN	7.980464257	9.093946724	9.17643277	8.855654814	9.305581356	9.67528788	8.892100171	NaN	9.678116676	9.153256781	9.59161659	9.425299403	9.940364555	9.641649578	NaN	NaN	NaN	NaN	NaN	10.17927021	8.185805544	8.314903296	8.586326201	9.272157343	6.296055214	NaN	6.582855171	6.893994156	8.756907553	8.745022455	9.196847427	10.34668737	10.17512896	10.07412497	7.849974986	NaN	NaN	6.993826744	7.982540326	6.60035432	8.689187169	8.956927302	8.962824231	9.011748016	7.449353431	NaN	6.907160333	6.981591256	NaN	6.975389112	7.131044175	NaN	NaN	NaN	8.405843049	NaN	NaN	8.922742062	9.516359505	NaN	6.706432795	6.678227933	8.496922734	8.864888848	9.406911301	9.760888949	10.15955817	NaN	6.707818845	6.915065199	8.730407556	8.987644818	8.726740247	6.491823901	6.721301112	6.575797393	8.537061883	8.441505043	8.759978161	8.050163139	9.591425256	9.286799907	NaN	7.296739782	8.858003326	8.449776057	10.29667396	7.084801445	7.50154399	7.332460699	9.601808028	9.434461914	9.510233923	NaN	6.398393349	NaN	9.878193653	9.698330252	9.568512662	8.184779419	8.727022886	10.29272335	8.731342139	9.602778155	9.784138521	NaN	NaN	NaN	9.705833789	9.860680515	10.36636878	7.298254713	9.835120225	9.879173896	8.351309193	8.554386178	9.553701022	8.34391842	8.518575791	9.403712338	7.236703768	6.414824827	NaN	8.983965293	8.861834789	8.501972103	10.01195932	10.19308841	9.688297882	NaN	NaN	NaN	NaN	NaN	NaN	8.798792166	8.303258714	10.36771178	9.839766434	9.870005717	9.920885804	NaN	8.042713303	8.252124555	8.761071932	8.791038368	6.30927684	6.485292739	9.571949781	9.879391237	9.642196342	10.17904309	9.609719238	8.380686897	9.019527533	9.111474231	9.418007795	8.685259719	8.429321002
COG3385	10.02182662	9.28588826	9.280095553	9.837699144	6.898876007	NaN	7.155158973	7.264624495	9.391736929	10.09840315	9.236852288	7.614146049	7.828616729	8.313715404	NaN	9.753101775	8.13109232	8.223550454	9.068137604	9.123855756	9.162648032	9.164079105	9.839585005	8.607604053	NaN	9.354696836	9.376857607	9.56199411	9.298333773	9.874637649	9.779632272	7.504575529	7.3280145	8.365018433	6.975524678	7.152759115	10.07830653	8.114147092	8.425398533	8.575892425	9.027185402	NaN	7.187509469	7.174798062	7.033962308	8.722346684	8.676888149	9.040785315	10.18223208	10.12606514	10.04229114	8.157104599	NaN	7.269221005	7.153967252	8.246840665	6.852153601	8.690282045	9.004347474	8.356414063	8.855948393	8.675364925	7.843167978	7.238470174	8.317789729	6.965694578	7.777509475	NaN	NaN	7.475974667	7.366507025	8.061109285	6.917494534	7.264624259	8.835440702	9.344604456	NaN	NaN	NaN	8.39365416	8.976351814	9.274399463	9.746024358	9.843946254	7.381517605	7.369414418	NaN	8.431476346	8.968449091	8.851242445	7.242976027	7.444951509	NaN	NaN	8.523512354	8.662410258	7.960114353	9.444143251	9.364046264	7.363989727	6.898758136	8.670684567	8.484611567	10.24205996	7.247359447	7.701231998	8.024235614	9.29710365	9.402304896	9.374374692	NaN	NaN	6.820019491	9.872639557	9.34757881	9.352576679	7.780749958	8.837476063	9.86146266	8.416334232	9.188359171	9.985504164	6.645548118	NaN	7.264416411	9.658358693	9.997739706	10.17513551	9.083704671	9.579292452	9.924170699	8.168022862	8.121251169	9.378884837	6.74389458	8.281753564	9.444533493	7.429447053	NaN	NaN	8.888923282	8.673623523	8.663031541	8.950321034	10.04519979	9.607032748	6.72306233	NaN	8.495878603	7.607183649	7.49121178	7.276367605	8.813660369	8.09629114	9.736968701	10.01758421	9.777216512	10.01718031	10.17139937	NaN	8.173834315	8.856526797	8.614472202	NaN	7.275606183	9.831100283	9.871643561	9.484205851	9.87803593	9.495963167	8.524904774	9.406061	9.362959409	9.77600372	9.102171575	8.638020166
